,name,github_id,resource,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,labels,license,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,conda_id,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,brew_id,maven_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,conda_dependent_project_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,licenses,apt_id
10,jinja,pallets/jinja,,others,https://github.com/pallets/jinja,https://github.com/pallets/jinja,2010-10-17 13:41:17.000000,2021-02-25 01:18:38.000000,2021-02-25 01:18:38.000000,1378.0,56.0,684.0,7556.0,2308.0,A very fast and expressive template engine.,271.0,38,True,,BSD-3-Clause,2021-01-31 17:15:06.000000,2.11.3,39.0,51942.0,22786444.0,conda-forge/jinja2,jinja2,760849.0,573855.0,https://pypi.org/project/jinja2,2021-01-31 16:33:07.000000,186994.0,22636218.0,https://anaconda.org/conda-forge/jinja2,2021-01-31 18:58:14.619000,8487021.0,1.0,,,,,,,,,,,,,,,,,,
11,grpc,grpc/grpc,,rpc,https://github.com/grpc/grpc,https://github.com/grpc/grpc,2014-12-08 18:58:53.000000,2021-02-25 15:18:43.000000,2021-02-25 15:18:43.000000,7532.0,739.0,8714.0,29433.0,48596.0,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#).",704.0,37,True,,Apache-2.0,2021-02-24 03:06:55.000000,1.36.0,158.0,201759.0,9820992.0,conda-forge/grpcio,grpcio,9349.0,2587.0,https://pypi.org/project/grpcio,2021-02-16 20:50:09.000000,6762.0,9745631.0,https://anaconda.org/conda-forge/grpcio,2021-01-30 17:41:12.473000,2087934.0,1.0,,,,,,,,,,,,,,,,,,
12,tornado,tornadoweb/tornado,,web-frameworks,https://github.com/tornadoweb/tornado,https://github.com/tornadoweb/tornado,2009-09-09 04:55:16.000000,2021-02-25 08:20:45.000000,2021-02-04 02:40:24.000000,5280.0,212.0,1445.0,19810.0,4308.0,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed.",410.0,37,True,,Apache-2.0,2020-03-04 02:32:23.000000,6.0.4,62.0,,8017147.0,conda-forge/tornado,tornado,196229.0,148073.0,https://pypi.org/project/tornado,2020-10-30 19:04:55.000000,48156.0,7828871.0,https://anaconda.org/conda-forge/tornado,2021-01-08 08:53:30.908000,10920060.0,1.0,,,,,,,,,,,,,,,,,,
13,gunicorn,benoitc/gunicorn,,servers,https://github.com/benoitc/gunicorn,https://github.com/benoitc/gunicorn,2009-11-30 18:18:08.000000,2021-02-24 10:57:57.000000,2021-02-24 10:57:57.000000,1363.0,266.0,1372.0,7476.0,2873.0,"gunicorn 'Green Unicorn' is a WSGI HTTP Server for UNIX, fast clients and sleepy applications.",362.0,37,True,,MIT,2019-11-26 22:56:52.000000,20.0.4,80.0,97.0,5807293.0,conda-forge/gunicorn,gunicorn,523081.0,400989.0,https://pypi.org/project/gunicorn,2019-11-26 22:52:57.000000,122092.0,5797352.0,https://anaconda.org/conda-forge/gunicorn,2021-01-08 23:24:42.661000,546700.0,1.0,,,,,,,,,,,,,,,,,,
14,werkzeug,pallets/werkzeug,,web-frameworks,https://github.com/pallets/werkzeug,https://github.com/pallets/werkzeug,2010-10-18 11:42:40.000000,2021-02-24 18:34:31.000000,2021-02-24 18:34:30.000000,1520.0,21.0,815.0,5622.0,4556.0,The comprehensive WSGI web application library.,411.0,37,True,,BSD-3-Clause,2020-03-31 18:05:58.000000,1.0.1,68.0,238.0,10766062.0,conda-forge/werkzeug,werkzeug,594707.0,459263.0,https://pypi.org/project/werkzeug,2021-02-08 15:20:44.000000,135444.0,10718718.0,https://anaconda.org/conda-forge/werkzeug,2020-04-01 07:59:51.500000,2556266.0,1.0,,,,,,,,,,,,,,,,,,
15,sanic,sanic-org/sanic,,web-frameworks,https://github.com/sanic-org/sanic,https://github.com/sanic-org/sanic,2016-05-26 04:38:22.000000,2021-02-25 07:23:05.000000,2021-02-24 19:09:27.000000,1311.0,51.0,916.0,14610.0,2418.0,Async Python 3.6+ web server/framework | Build fast. Run fast.,282.0,36,True,,MIT,2021-02-16 07:36:48.000000,20.12.2,45.0,,9872557.0,conda-forge/sanic,sanic,5361.0,4827.0,https://pypi.org/project/sanic,2021-02-16 07:15:53.000000,534.0,9869773.0,https://anaconda.org/conda-forge/sanic,2021-02-18 11:19:56.196000,111395.0,2.0,,,,,,,,,,,,,,,,,,
16,discord.py,Rapptz/discord.py,,third-party-apis,https://github.com/Rapptz/discord.py,https://github.com/Rapptz/discord.py,2015-08-21 22:19:08.000000,2021-02-25 11:40:54.000000,2021-02-25 02:26:51.000000,1905.0,163.0,2113.0,6660.0,2787.0,An API wrapper for Discord written in Python.,223.0,36,True,,MIT,2020-10-19 23:47:51.000000,1.5.1,62.0,,5627977.0,,discord.py,33870.0,29296.0,https://pypi.org/project/discord.py,2021-01-08 04:56:50.000000,4574.0,5627977.0,,,,1.0,,,,,,,,,,,,,,,,,,
17,google-api-python-client,googleapis/google-api-python-client,,third-party-apis,https://github.com/googleapis/google-api-python-client,https://github.com/googleapis/google-api-python-client,2014-01-08 21:55:56.000000,2021-02-25 14:23:58.000000,2021-02-22 20:44:11.000000,1831.0,36.0,694.0,4492.0,1117.0,The official Python client library for Google's discovery based APIs.,156.0,36,True,,Apache-2.0,2020-11-18 17:36:25.000000,1.12.8,82.0,90.0,11181480.0,conda-forge/google-api-python-client,google-api-python-client,65246.0,52662.0,https://pypi.org/project/google-api-python-client,2020-11-18 17:36:25.000000,12584.0,11170587.0,https://anaconda.org/conda-forge/google-api-python-client,2020-11-18 19:25:35.486000,599105.0,1.0,,,,,,,,,,,,,,,,,,
18,youtube-dl,ytdl-org/youtube-dl,,third-party-apis,https://github.com/ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,2010-10-31 14:35:07.000000,2021-02-25 14:50:57.000000,2021-02-25 14:50:49.000000,4186.0,3934.0,19560.0,90655.0,18317.0,Command-line program to download videos from YouTube.com and other video sites.,942.0,35,True,,Unlicense,2021-02-21 19:45:33.000000,2021.02.22,941.0,43844540.0,2870067.0,conda-forge/youtube-dl,youtube_dl,2854.0,,https://pypi.org/project/youtube_dl,2021-02-21 19:46:21.000000,2854.0,1342186.0,https://anaconda.org/conda-forge/youtube-dl,2021-02-21 21:44:48.956000,592056.0,1.0,youtube-dl,,,,,,,,,,,,,,,,,
19,bottle,bottlepy/bottle,,web-frameworks,https://github.com/bottlepy/bottle,https://github.com/bottlepy/bottle,2009-06-30 17:51:30.000000,2021-02-13 18:38:30.000000,2021-01-01 15:17:44.000000,1361.0,306.0,527.0,7189.0,1869.0,bottle.py is a fast and simple micro-framework for python web-applications.,216.0,35,True,,MIT,2020-11-11 18:51:24.000000,0.12.19,74.0,,500751.0,conda-forge/bottle,bottle,24868.0,15188.0,https://pypi.org/project/bottle,2020-11-11 18:51:24.000000,9680.0,496647.0,https://anaconda.org/conda-forge/bottle,2020-06-10 17:23:11.717000,217536.0,2.0,,,,,,,,,,,,,,,,,,
20,django-extensions,django-extensions/django-extensions,,django-utils,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,2009-03-21 16:11:19.000000,2021-02-24 06:38:41.000000,2021-02-19 11:05:56.000000,1008.0,99.0,679.0,5237.0,3483.0,This is a repository for collecting global custom management extensions for the Django Framework.,529.0,35,True,['django'],MIT,2021-02-07 21:13:23.000000,3.1.1,115.0,,757186.0,conda-forge/django-extensions,django-extensions,87829.0,63639.0,https://pypi.org/project/django-extensions,2021-02-07 21:13:23.000000,24190.0,753100.0,https://anaconda.org/conda-forge/django-extensions,2021-02-07 23:05:05.134000,241110.0,1.0,,,,,,,,,,,,,,,,,,
