,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,labels,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads,conda_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,brew_id,maven_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,apt_id,licenses
10,tornado,tornadoweb/tornado,web-frameworks,,https://github.com/tornadoweb/tornado,https://github.com/tornadoweb/tornado,Apache-2.0,2009-09-09 04:55:16.000,2023-07-20 12:05:52.000,2023-07-08 01:26:30,4618.0,5493,997.0,1507.0,213.0,1593.0,21194,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed.",387628.0,361979.0,436.0,46,True,,52.0,2023-05-14 03:42:17.971,6.3.2,69.0,,26485876.0,conda-forge/tornado,tornado,https://pypi.org/project/tornado,2023-05-14 03:42:17.971,25649.0,26102154.0,https://anaconda.org/conda-forge/tornado,2023-06-16 13:24:37.233,33383896.0,1.0,,,,,,,,,,,,,,,,,,
11,aiohttp,aio-libs/aiohttp,http-clients,,https://github.com/aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,Apache-2.0,2013-10-01 23:04:01.000,2023-07-20 13:00:59.000,2023-07-19 14:27:49,9050.0,1915,223.0,4478.0,505.0,2345.0,13730,Asynchronous HTTP client/server framework for asyncio and Python.,373567.0,359646.0,678.0,46,True,,36.0,2023-07-19 17:04:14.000,3.8.5,222.0,11423.0,65351327.0,conda-forge/aiohttp,aiohttp,https://pypi.org/project/aiohttp,2023-07-19 17:04:14.000,13921.0,65031920.0,https://anaconda.org/conda-forge/aiohttp,2023-07-19 22:51:22.665,10536425.0,1.0,,,,,,,,,,,,,,,,,,
12,gunicorn,benoitc/gunicorn,servers,,https://github.com/benoitc/gunicorn,https://github.com/benoitc/gunicorn,MIT,2009-11-30 18:18:08.000,2023-07-19 16:08:10.332,2023-07-19 11:31:10,3044.0,1667,225.0,1043.0,345.0,1706.0,9028,"gunicorn Green Unicorn is a WSGI HTTP Server for UNIX, fast clients and sleepy applications.",1045310.0,983195.0,408.0,46,True,,61.0,2023-07-19 11:51:19.000,21.2.0,86.0,103.0,29287755.0,conda-forge/gunicorn,gunicorn,https://pypi.org/project/gunicorn,2023-07-19 11:46:44.000,62115.0,29225735.0,https://anaconda.org/conda-forge/gunicorn,2023-07-19 16:08:10.332,2046667.0,1.0,2.0,,,,,,,,,,,,,,,,,
13,youtube-dl,ytdl-org/youtube-dl,third-party-apis,,https://github.com/ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Unlicense,2010-10-31 14:35:07.000,2023-07-20 04:32:15.000,2023-07-20 04:29:59,18758.0,9131,2197.0,4856.0,4745.0,22409.0,121771,Command-line program to download videos from YouTube.com and other video sites.,1813.0,,996.0,45,True,,47.0,2021-12-16 19:02:14.000,2021.12.17,955.0,58662529.0,4799787.0,conda-forge/youtube-dl,youtube_dl,https://pypi.org/project/youtube_dl,2021-12-16 19:02:14.000,1813.0,3694338.0,https://anaconda.org/conda-forge/youtube-dl,2023-06-16 16:12:46.297,1261010.0,1.0,,youtube-dl,,,,,,,,,,,,,,,,
14,Scrapy,scrapy/scrapy,web-scraping,,https://github.com/scrapy/scrapy,https://github.com/scrapy/scrapy,BSD-3-Clause,2010-02-22 02:01:14.000,2023-07-20 09:04:44.000,2023-07-05 08:51:06,9884.0,10008,1778.0,3093.0,740.0,2345.0,47861,"Scrapy, a fast high-level web crawling & scraping framework for Python.",43300.0,38697.0,607.0,45,True,,99.0,2023-05-08 11:05:45.000,2.9.0,93.0,,989287.0,conda-forge/scrapy,scrapy,https://pypi.org/project/scrapy,2023-05-08 10:57:02.689,4603.0,980830.0,https://anaconda.org/conda-forge/scrapy,2023-06-16 13:25:29.579,685056.0,1.0,,,,,,,,,,,,,,,,,,
15,werkzeug,pallets/werkzeug,web-frameworks,,https://github.com/pallets/werkzeug,https://github.com/pallets/werkzeug,BSD-3-Clause,2010-10-18 11:42:40.000,2023-07-20 16:13:26.000,2023-07-01 17:00:24,5449.0,1703,222.0,1627.0,4.0,1097.0,6398,The comprehensive WSGI web application library.,1125749.0,1056220.0,478.0,45,True,,132.0,2023-06-08 21:29:29.000,2.3.6,91.0,494.0,93403253.0,conda-forge/werkzeug,werkzeug,https://pypi.org/project/werkzeug,2023-06-08 21:28:20.441,69529.0,93302716.0,https://anaconda.org/conda-forge/werkzeug,2023-06-09 01:25:01.170,8344014.0,2.0,,,,,,,,,,,,,,,,,,
16,django-rest-framework,encode/django-rest-framework,web-frameworks,,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,BSD-3-Clause,2011-03-02 17:13:56.000,2023-07-20 11:34:15.000,2023-07-15 09:26:56,8700.0,6612,616.0,4549.0,127.0,3759.0,25957,Web APIs for Django.,532931.0,532506.0,1368.0,43,True,['django'],27.0,2022-11-08 10:37:57.000,3.14.0,40.0,,109994.0,conda-forge/djangorestframework,django-rest-framework,https://pypi.org/project/django-rest-framework,2017-07-20 17:14:33.000,425.0,104162.0,https://anaconda.org/conda-forge/djangorestframework,2023-06-16 13:24:55.645,513300.0,2.0,,,,,,,,,,,,,,,,,,
17,discord.py,Rapptz/discord.py,third-party-apis,,https://github.com/Rapptz/discord.py,https://github.com/Rapptz/discord.py,MIT,2015-08-21 22:19:08.000,2023-07-20 09:31:16.000,2023-07-18 09:45:34,4883.0,3752,269.0,2632.0,108.0,2739.0,13224,An API wrapper for Discord written in Python.,33600.0,30849.0,391.0,43,True,,73.0,2023-06-26 08:22:03.145,2.3.1,76.0,,9337366.0,conda-forge/discord.py,discord.py,https://pypi.org/project/discord.py,2023-06-26 08:22:03.145,2751.0,9336983.0,https://anaconda.org/conda-forge/discord.py,2023-06-26 09:40:59.382,11507.0,1.0,,,,,,,,,,,,,,,,,,
18,urllib3,urllib3/urllib3,http-clients,,https://github.com/urllib3/urllib3,https://github.com/urllib3/urllib3,MIT,2011-09-18 18:08:28.000,2023-07-20 10:34:23.000,2023-07-20 10:34:23,3993.0,1078,101.0,1933.0,125.0,1039.0,3453,urllib3 is a user-friendly HTTP client library for Python.,1440823.0,1395632.0,330.0,43,True,,53.0,2023-07-19 15:51:22.000,2.0.4,84.0,12945.0,329482378.0,conda-forge/urllib3,urllib3,https://pypi.org/project/urllib3,2023-07-19 15:51:22.000,45191.0,328473556.0,https://anaconda.org/conda-forge/urllib3,2023-07-19 18:06:56.635,36308488.0,2.0,,,,,,,,,,,,,,,,,,
19,coverage,nedbat/coveragepy,testing,,https://github.com/nedbat/coveragepy,https://github.com/nedbat/coveragepy,Apache-2.0,2016-08-09 00:05:44.974,2023-07-12 11:16:31.000,2023-07-12 11:02:23,6056.0,371,28.0,303.0,251.0,1116.0,2581,The code coverage tool for Python.,381317.0,324432.0,181.0,43,True,,134.0,2023-05-29 20:10:15.000,7.2.7,128.0,,54470509.0,conda-forge/coverage,coverage,https://pypi.org/project/coverage,2019-10-03 00:46:32.000,56885.0,54327309.0,https://anaconda.org/conda-forge/coverage,2023-06-16 13:25:02.523,11885659.0,1.0,,,,,,,,,,,,,,,,,,
20,OpenAPI Generator,OpenAPITools/openapi-generator,openapi-utils,,https://github.com/OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,Apache-2.0,2018-05-12 09:57:56.000,2023-07-20 16:05:50.000,2023-07-20 09:35:40,18883.0,5443,212.0,9175.0,4156.0,3163.0,17059,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and..",671.0,83.0,2785.0,42,True,['openapi'],472.0,2023-07-18 04:18:52.037,2.7.0,681.0,,1687455.0,,openapi-generator-cli,https://pypi.org/project/openapi-generator-cli,2020-05-15 12:33:56.000,,7831.0,,,,1.0,,,org.openapitools.openapi-generator,@openapitools/openapi-generator-cli,https://www.npmjs.com/package/@openapitools/openapi-generator-cli,2023-07-18 04:18:52.037,588.0,1679624.0,https://search.maven.org/artifact/org.openapitools.openapi-generator,,,,,,,,,
21,jinja,pallets/jinja,others,,https://github.com/pallets/jinja,https://github.com/pallets/jinja,BSD-3-Clause,2010-10-17 13:41:17.000,2023-07-20 02:29:58.000,2023-07-01 16:21:29,2746.0,1569,249.0,860.0,79.0,915.0,9370,A very fast and expressive template engine.,101422.0,,304.0,42,True,,36.0,2022-04-28 17:24:04.000,3.1.2,48.0,54724.0,107233798.0,conda-forge/jinja2,jinja2,https://pypi.org/project/jinja2,2022-04-28 17:21:25.000,101422.0,106882777.0,https://anaconda.org/conda-forge/jinja2,2023-06-16 13:17:18.409,30118735.0,1.0,,,,,,,,,,,,,,,,,,
22,google-api-python-client,googleapis/google-api-python-client,third-party-apis,,https://github.com/googleapis/google-api-python-client,https://github.com/googleapis/google-api-python-client,Apache-2.0,2014-01-08 21:55:56.000,2023-07-20 11:59:38.000,2023-07-19 16:43:25,1640.0,2364,278.0,1125.0,105.0,898.0,6740,The official Python client library for Googles discovery based APIs.,165061.0,157478.0,188.0,42,True,,36.0,2023-07-18 14:08:17.308,2.94.0,183.0,,46463918.0,conda-forge/google-api-python-client,google-api-python-client,https://pypi.org/project/google-api-python-client,2023-01-31 15:01:10.584,7583.0,46403692.0,https://anaconda.org/conda-forge/google-api-python-client,2023-07-18 15:44:41.458,2288611.0,1.0,,,,,,,,,,,,,,,,,,
23,twisted,twisted/twisted,others,,https://github.com/twisted/twisted,https://github.com/twisted/twisted,MIT,2011-07-01 20:40:42.000,2023-07-17 17:41:39.000,2023-07-17 08:21:52,28987.0,1121,174.0,1877.0,2752.0,7372.0,5138,Event-driven networking engine written in Python.,82012.0,71752.0,259.0,42,True,,45.0,2022-10-31 09:31:04.010,22.10.0,94.0,,2786549.0,conda-forge/twisted,twisted,https://pypi.org/project/twisted,2022-04-11 14:55:10.000,10260.0,2770941.0,https://anaconda.org/conda-forge/twisted,2023-06-16 16:09:07.402,952121.0,1.0,,,,,,,,,,,,,,,,,,
24,python-telegram-bot,python-telegram-bot/python-telegram-bot,third-party-apis,,https://github.com/python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,GPL-3.0,2015-07-07 15:30:39.000,2023-07-18 10:02:15.000,2023-07-18 10:02:13,2603.0,4857,596.0,1539.0,18.0,1917.0,22454,We have made you a wrapper you cant refuse.,89691.0,87165.0,183.0,41,True,,46.0,2023-07-09 10:29:01.000,20.4,129.0,18449.0,708619.0,conda-forge/python-telegram-bot,python-telegram-bot,https://pypi.org/project/python-telegram-bot,2023-07-09 10:32:10.465,2526.0,706139.0,https://anaconda.org/conda-forge/python-telegram-bot,2023-07-09 16:35:43.190,82323.0,1.0,,,,,,,,,,,,,,,,,,
25,wagtail,wagtail/wagtail,cms,,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59.000,2023-07-20 15:43:07.000,2023-07-19 22:24:09,15641.0,3249,339.0,6006.0,978.0,3645.0,15113,A Django content management system focused on flexibility and user experience.,1516.0,6.0,825.0,41,True,['django'],516.0,2023-06-21 13:58:03.282,5.0.2,210.0,,152718.0,conda-forge/wagtail,wagtail,https://pypi.org/project/wagtail,2022-06-16 09:03:29.000,1510.0,147968.0,https://anaconda.org/conda-forge/wagtail,2023-06-23 18:40:51.630,61762.0,1.0,,,,,,,,,,,,,,,,,,
26,starlette,encode/starlette,web-frameworks,,https://github.com/encode/starlette,https://github.com/encode/starlette,BSD-3-Clause,2018-06-25 13:16:21.000,2023-07-20 12:59:00.000,2023-07-13 19:23:03,1187.0,768,109.0,1262.0,39.0,648.0,8470,The little ASGI framework that shines.,121855.0,120920.0,237.0,41,True,,48.0,2023-07-13 11:33:19.417,0.30.0,136.0,,15608211.0,conda-forge/starlette,starlette,https://pypi.org/project/starlette,2023-07-13 11:33:19.417,935.0,15564260.0,https://anaconda.org/conda-forge/starlette,2023-07-15 18:56:36.016,1582236.0,2.0,,,,,,,,,,,,,,,,,,
27,gevent,gevent/gevent,servers,,https://github.com/gevent/gevent,https://github.com/gevent/gevent,MIT,2012-09-13 22:03:03.000,2023-07-19 13:57:15.000,2023-07-19 13:57:12,5885.0,943,241.0,632.0,100.0,1241.0,6008,Coroutine-based concurrency library for Python.,121573.0,106655.0,107.0,41,True,,52.0,2023-07-11 15:35:39.186,23.7.0,80.0,59243.0,6971596.0,conda-forge/gevent,gevent,https://pypi.org/project/gevent,2023-07-11 15:35:39.186,14918.0,6954555.0,https://anaconda.org/conda-forge/gevent,2023-06-16 13:24:39.571,1190828.0,1.0,,,,,,,,,,,,,,,,,,
28,GitPython,gitpython-developers/GitPython,third-party-apis,,https://github.com/gitpython-developers/GitPython,https://github.com/gitpython-developers/GitPython,BSD-3-Clause,2010-11-30 17:34:03.000,2023-07-20 15:27:34.000,2023-07-20 06:10:46,3055.0,857,99.0,549.0,144.0,761.0,4013,GitPython is a python library used to interact with Git repositories.,184154.0,176216.0,295.0,41,True,,57.0,2023-07-10 18:08:47.113,3.1.32,86.0,,39326769.0,conda-forge/gitpython,gitpython,https://pypi.org/project/gitpython,2023-07-10 18:08:47.113,7938.0,39170125.0,https://anaconda.org/conda-forge/gitpython,2023-07-10 19:36:12.150,5952486.0,1.0,,,,,,,,,,,,,,,,,,
